In total we have 42407 words in this dataset
The initialization was done in [10813267 ms]
At the train f-ion() of MultinomialNB_Email class countOfLessThanFive=32142
The features with the top 2047 highest mutual information are:

        Feature           Info Gain         Log(P(Ham|Word))        Log(P(Spam|Word))
       software             239.512                  -4.9958                  -1.5537
          click             239.263                 -3.42893                   -1.308
        process             238.904                 -1.81775                 -3.41563
     operations             234.514                 -1.89346                 -4.55773
        fernley             234.249                 -2.88055                 -8.65207
            com              233.61                 -1.98559                -0.688266
          david             233.507                 -2.45683                 -4.62672
           risk             233.255                 -1.25615                  -3.0353
             04             232.686                 -2.45355                 -4.96319
          james             231.973                 -2.76221                 -5.56103
        richard             230.095                 -2.71427                 -5.70763
            eol             229.125                 -2.80788                 -8.65207
           beth             226.566                 -2.91117                 -8.65207
            fyi             226.531                 -3.30632                 -6.70616
          scott             225.038                 -2.79396                 -5.28478
             06             224.766                  -2.3778                 -4.44738
         monday             224.534                 -2.71427                 -4.59163
         causey             222.625                 -3.19025                 -7.95893
           save               222.2                 -4.70812                 -1.94643
         online             221.976                 -4.34522                 -1.69173
            gas             220.792                  -2.1799                 -2.79414
           mark             220.376                 -2.53907                 -4.82343
         jordan             220.356                 -2.74891                 -6.70616
          steve             219.837                 -2.73578                 -5.31987
           site             219.572                 -3.99947                 -1.80301
           memo             218.905                 -3.33758                 -8.65207
             01              218.53                 -2.30174                 -3.64144
        summary             218.218                 -2.99207                 -6.70616
        website             217.904                 -4.26183                 -1.45314
      commodity               217.9                 -2.57915                 -6.08712
        michael             216.087                  -2.6209                 -4.62672
           john             216.061                  -2.3778                 -4.47769
         murphy              213.81                 -3.35358                 -8.65207
                           212.538                 -1.29039                 -8.65207
       schedule              210.35                 -2.93742                 -5.60755
          group             209.936                 -1.95526                 -3.03895
           mary             209.321                  -2.6484                  -4.9385
          dyson             208.725                 -3.32967                 -8.65207
             08             208.414                 -2.67669                 -4.57454
             03             208.098                  -2.5109                 -4.16344
         viagra             205.295                 -8.17386                 -2.52958
         sheila             204.931                 -2.91636                 -7.95893
          offer             204.228                 -3.84312                 -1.95504
         groups             203.982                 -3.00337                 -5.15557
responsibilities              203.65                 -3.42893                 -8.65207
              @             201.726                 0.505965                 -1.28373
             re              200.59                 -1.68162                 -2.67572
             11             200.546                 -2.09164                 -3.19675
             02             199.585                 -2.52488                 -4.33459
            dpr             197.322                 -2.79396                 -8.65207
              ?              196.53                -0.422812                -0.713985
           know             196.249                 -1.60157                 -2.04813
           will             196.113                 -0.15688                -0.425768
            ees             196.058                 -2.28498                 -8.65207
        mailing             194.904                 -5.97663                  -2.6047
          would             194.682                 -1.36372                   -2.032
           call             194.371                 -2.19751                 -2.62139
            853              194.18                 -3.56869                 -7.55346
            prc             193.533                 -2.49028                 -8.65207
           hall             192.308                 -3.11126                 -6.57263
      solmonson             192.271                 -3.28351                 -8.65207
          reply             192.198                  -5.5348                 -2.64326
           role             191.424                 -2.75332                 -6.16717
           free             190.282                 -3.65207                 -1.18527
     management             189.692                 -1.52358                 -2.93834
       creative             189.612                 -7.48071                  -3.0031
     stationery             188.609                 -8.17386                 -2.99958
         remove             188.052                 -5.77596                 -2.54061
              =             187.979                 -3.86979                -0.520543
           greg             187.407                 -3.21101                 -6.57263
      regarding             186.518                 -2.83152                  -3.8899
       controls             186.489                 -3.04989                 -6.16717
          draft             186.317                 -3.30632                 -6.01302
            000              186.09                 -3.54888                 -1.20549
             no             185.906                  -2.6209                 -1.05971
       doorstep             185.508                 -2.96437                 -7.55346
           week             184.774                 -2.00634                 -2.82607
          kevin             183.787                 -3.37807                 -6.57263
      scheduled             183.216                 -3.44647                 -6.16717
         wilson             182.923                 -3.33758                 -6.08712
        removed             182.845                 -5.46581                 -2.67319
           wish             182.758                 -4.73987                 -2.49087
       feedback             182.329                 -2.58661                 -5.65634
            joe             182.055                 -3.07399                 -5.94402
            sap             181.807                 -2.45683                 -7.55346
          sheri             180.947                 -3.32183                 -8.65207
            man             180.785                 -6.22795                 -2.95498
         leslie             179.918                 -3.55874                 -7.55346
           best             179.526                 -3.10495                 -1.76759
         energy             179.112                 -2.49028                 -3.72482
      yesterday              178.98                 -3.75502                 -6.86031
          april             178.119                 -3.32183                 -5.94402
           each              177.84                  -2.1849                 -2.55625
          email             177.449                 -3.11126                -0.871353
            low             177.026                 -5.60891                 -2.71718
         prices             176.955                 -4.77266                 -2.47206
         should             176.651                 -1.90098                 -2.51219
         reeves             175.933                 -3.80441                 -8.65207
              0             175.872                 -3.93975                 -1.52679
            100             175.048                  -4.5103                 -2.11828
         attend             174.657                 -3.38637                 -5.70763
        receive             174.504                 -3.91118                 -1.84968
          north             174.337                 -2.84114                 -3.94254
    operational             174.099                 -3.08626                 -6.16717
       internet             174.097                 -4.20357                 -2.05493
             mx             173.922                 -8.17386                 -2.88688
         report               173.9                 -1.96326                 -1.83097
     discussion             173.842                 -3.65207                 -6.25418
   professional             173.559                 -4.95498                 -2.52302
          think             173.315                 -2.48013                 -3.52217
            now             173.123                 -2.54624                 -1.31124
          peggy             172.181                 -3.70795                 -8.65207
      wednesday              172.18                 -3.34554                 -5.35624
             if             172.094                -0.991505                 -0.89118
              *             171.826                 -2.29893                -0.305432
          chris             171.813                 -3.28351                 -6.86031
           logo              171.67                 -7.07525                 -2.50361
         glover             171.247                 -3.57874                 -7.95893
             05             171.167                 -2.61703                  -4.0271
     commercial             170.964                 -2.64443                 -4.03695
    responsible              170.93                 -3.21101                 -5.60755
       thursday             170.314                 -3.33758                 -5.15557
    unsubscribe             170.277                 -6.56442                 -2.97875
        analyst             170.136                 -2.89574                 -5.87948
            var             169.437                 -2.62868                 -6.70616
              &             169.349                 -1.64444                 -2.09388
             07              168.84                 -2.75332                 -4.38939
          cindy             168.779                 -3.68522                 -7.95893
           fast             168.574                 -5.60891                 -2.83199
           date             168.312                 -2.33613                 -2.95834
   andmanyother              168.24                 -8.17386                 -3.33395
         brenda             168.129                 -3.46433                 -6.45485
          sites             167.906                 -6.56442                 -2.72248
      functions             167.643                   -3.663                 -6.16717
    origination             167.546                 -3.09245                 -7.95893
        eugenio             167.189                   -3.663                 -8.65207
           easy             167.075                 -5.22942                  -2.5585
            web             166.747                 -4.07951                 -2.07421
         update             166.704                 -2.60551                 -3.34381
            any             166.141                 -1.41809                 -1.28753
      positions             166.038                 -2.99771                 -5.28478
           also             165.915                 -1.87124                 -2.14182
            sex             165.762                 -8.17386                 -3.21399
           2004             165.547                 -7.48071                 -2.50789
     accounting             164.891                 -2.94275                 -4.82343
            pro             164.848                 -7.48071                 -2.82607
            egm             164.698                 -3.44647                 -8.65207
        jeffrey             164.667                 -3.81715                 -7.55346
        tuesday             164.368                 -3.30632                 -5.06855
           next             164.242                 -2.26306                 -2.47206
     guaranteed             164.167                 -6.56442                 -2.98911
            kim             163.854                 -3.64126                 -7.04264
           todd             163.452                 -3.32967                 -7.55346
         trades             163.353                 -3.61998                 -6.01302
    settlements             163.312                 -3.50103                 -7.26578
             28             163.241                 -3.10495                 -4.36161
             70             163.188                 -5.87127                 -3.03895
              [             163.021                 -4.95498                 -2.37731
      marketing             162.855                 -4.26183                 -2.08259
        moscoso              162.21                 -3.91118                 -8.65207
          herod              162.21                  -3.9842                 -8.65207
      requested                 162                 -3.48251                 -4.98851
          brian             161.849                 -3.38637                 -6.57263
       identity              161.71                 -7.48071                 -3.26758
  advertisement              161.71                 -7.48071                  -3.1069
          boost             161.361                 -7.48071                 -3.37907
              ]             160.992                 -4.87802                 -2.37731
         apollo             160.967                 -4.01497                 -8.65207
        dollars             160.552                 -5.87127                  -2.7119
          hello             160.503                 -4.77266                 -2.75492
           plan             160.046                 -2.77569                  -3.7468
          audit             160.008                 -3.25388                 -6.34949
           dave             160.002                 -3.70795                 -6.86031
        revised             159.815                 -4.03072                 -7.55346
             aa             159.716                 -3.39473                 -7.04264
       mailings             159.623                 -7.48071                 -3.29078
       meetings             159.453                 -3.11126                 -5.87948
          asked             159.388                 -3.37807                 -4.59163
         thomas             159.003                 -3.25388                 -5.28478
       february             158.995                 -3.54888                 -6.08712
            net             158.673                 -3.30632                 -1.95134
         metals             158.611                 -2.91636                 -5.87948
        october             158.581                 -3.40317                 -5.81886
        charset             158.365                 -8.17386                 -3.43714
         andrew             158.264                 -3.70795                 -6.08712
        privacy             158.014                 -8.17386                  -3.2861
             95             157.843                 -7.07525                 -2.21913
      cornfield             157.245                 -4.06298                 -8.65207
         oniine             156.961                 -8.17386                 -3.36887
        engines             156.611                 -8.17386                 -2.82313
            tom             156.599                 -3.60951                 -6.16717
           unit             156.558                 -2.98647                 -5.21809
    development             156.455                 -2.01476                 -3.35877
           home             156.197                  -3.9842                 -2.07421
          patti             156.007                 -3.74304                 -8.65207
           mgmt             156.007                 -3.96916                 -8.65207
            ebs             156.007                 -3.17665                 -8.65207
         offers             155.823                 -4.53627                 -2.44752
         robert             155.379                 -3.29866                 -5.18634
      resources             155.349                 -2.87055                 -3.68226
     macromedia              155.21                 -8.17386                 -3.15491
           need             155.171                 -1.65324                 -1.91629
    enrononline             154.769                 -3.45536                 -8.65207
           mail             154.553                 -2.78936                 -1.23871
          visit             154.086                 -4.26183                 -2.52739
              /             154.002                  1.48724                 0.331492
            oem             153.811                 -8.17386                 -3.11474
            tim             153.779                 -3.20404                 -4.98851
            mid             153.602                 -3.14342                 -5.15557
             99              153.54                 -5.97663                 -2.70927
       approver             153.532                 -4.32371                 -8.65207
      executive             153.498                 -3.29106                 -5.15557
           well             153.394                 -2.49368                 -2.74399
        forward             153.212                  -2.4835                 -2.43947
       tomorrow             152.844                 -3.55874                 -5.21809
           have             152.688                -0.344227                -0.427106
          unify             152.296                 -3.00907                 -8.65207
       scribner             152.296                 -3.95435                 -8.65207
   counterparty             152.296                 -3.69652                 -8.65207
        reports             152.249                 -3.06187                 -3.33887
     interested             152.138                 -3.73121                 -2.37731
          fresh             152.065                 -8.17386                 -3.54613
          ready             151.824                 -4.56294                 -2.78844
        project             151.794                 -2.71427                 -3.49302
           hope             151.692                 -2.98647                 -3.77688
        america             151.625                 -2.73144                 -3.65486
        country             151.623                 -5.46581                 -2.67572
          dates             151.553                 -3.55874                 -5.94402
          march             151.531                 -3.21101                 -4.89087
       packages             151.331                 -7.48071                 -3.52217
         louise             151.061                 -3.85637                 -8.65207
        sweeney             151.061                 -4.18487                 -8.65207
       sherriff             151.061                 -3.96916                 -8.65207
     coordinate             151.061                 -4.28204                 -8.65207
    appropriate             151.051                   -3.663                 -5.47402
         search             150.842                 -5.34064                 -2.14182
             hr             150.694                 -3.58889                 -6.16717
           this             150.493                -0.235412                 0.283961
      logistics              150.43                 -3.74304                 -6.01302
  confirmations             150.412                 -3.53913                 -7.95893
 implementation             150.388                 -3.93975                 -6.86031
          laura             150.203                 -4.18487                 -7.26578
            jim             149.849                 -3.59915                 -5.94402
         hector             149.828                 -3.92536                 -8.65207
       graphics             149.615                 -7.48071                 -3.18401
     leadership             149.338                 -3.75502                 -6.34949
       function             149.302                 -3.83005                 -6.57263
           lisa             149.302                 -3.73121                 -6.57263
      processes             148.972                 -3.55874                 -5.31987
          japan             148.885                 -3.29106                 -6.01302
       document             148.747                 -3.56869                 -5.01449
              (             148.741                -0.345819                -0.259537
          suite             148.701                 -5.87127                  -3.2449
      employees             148.699                 -2.95892                 -4.84541
           lexi             148.595                 -3.79183                 -8.65207
            wes             148.595                 -4.07951                 -8.65207
        melissa             148.595                 -4.20357                 -8.65207
          watch             148.451                 -5.97663                 -3.02445
    competitors               148.4                  -6.3821                 -3.40505
        working             148.347                 -2.51787                 -3.19675
           gary             147.985                 -4.13081                 -7.95893
        perfect             147.969                 -6.78756                 -3.43714
     controller             147.844                 -3.50103                 -7.26578
     supervisor             147.844                  -3.8834                 -7.26578
       critical             147.701                 -3.80441                 -5.65634
         talked             147.674                 -4.16652                 -6.70616
     procedures             147.526                  -3.8834                 -5.81886
             00             147.506                 -1.71552                 -1.67666
        perlman             147.364                 -3.96916                 -8.65207
             50             147.275                 -4.01497                 -2.00439
      personnel             147.275                 -3.71951                 -5.51658
            had             147.031                 -2.36872                 -2.62863
       thousand             146.877                 -7.48071                 -3.42633
         baxter             146.775                 -4.14851                 -7.95893
   consolidated             146.601                 -3.93975                 -7.55346
            way             146.425                 -3.17665                  -2.0522
       thoughts             146.326                 -3.85637                 -6.08712
 counterparties             146.133                 -4.14851                 -8.65207
       lavorato             146.133                 -4.20357                 -8.65207
     backoffice             146.133                  -4.5103                 -8.65207
        account             146.088                 -3.95435                 -1.62831
           html             145.975                 -6.22795                 -3.17143
       Subject:             145.974                -0.859971                -0.442493
      submitted             145.668                 -3.96916                  -5.4332
           wiil              145.46                 -8.17386                 -3.46469
        stephen             145.411                 -3.77941                 -6.16717
         europe             145.326                 -3.11126                 -4.41797
             17             145.301                 -2.79858                 -3.67534
        kristin             144.904                 -4.09632                 -8.65207
 congratulating             144.904                 -4.48498                 -8.65207
            hpl             144.904                 -3.55874                 -8.65207
      cassandra             144.904                 -3.93975                 -8.65207
      thousands             144.619                 -7.07525                 -3.31935
     recruiting             144.539                 -3.32967                 -5.94402
       jennifer             144.539                 -3.69652                 -6.01302
       concerns              144.52                 -3.74304                 -5.47402
          there             144.505                 -1.93163                 -2.05084
   solicitation              144.49                 -7.07525                 -3.51628
         ensure             144.435                 -3.16991                 -4.14121
   professionai             144.422                 -8.17386                 -3.33887
        support             144.414                  -2.2767                 -3.09525
             12             144.359                  -1.9493                 -2.61659
              ;             144.349                  -2.6808                 -1.42369
       internal             144.303                 -3.35358                  -4.9385
            jul             144.076                 -8.17386                 -2.66311
         trader             143.855                 -3.68522                 -5.56103
      patterson             143.676                 -4.24203                 -8.65207
     mcloughlin             143.676                 -3.96916                 -8.65207
            met              143.65                  -3.8834                 -5.51658
          learn             143.556                 -5.28349                 -2.98911
         proven             143.539                 -6.56442                 -3.45358
          brown             143.349                 -3.80441                 -5.65634
   presentation             143.319                 -3.48251                 -5.18634
 responsibility             143.242                 -3.42027                 -5.51658
        manager             143.234                 -2.99207                  -3.7468
            inc             143.227                  -5.5348                 -2.34945
          lunch             143.154                 -3.99947                 -6.70616
       chairman             143.136                 -3.26858                  -5.7617
           desk             143.048                 -3.42027                 -5.18634
         future             143.022                 -3.57874                 -2.17973
             al             142.878                 -5.87127                 -3.13462
        special             142.771                 -4.38967                 -2.53839
            500             142.742                  -5.5348                 -2.70143
      afternoon             142.647                 -3.86979                 -5.39398
        million             142.519                 -4.26183                  -2.1751
       hedstrom              142.45                 -4.34522                 -8.65207
          heidi              142.45                 -4.22261                 -8.65207
       delainey              142.45                 -4.18487                 -8.65207
          cheap             142.348                 -8.17386                 -3.75423
           asap             142.277                 -4.01497                 -7.04264
             by             142.004                -0.770187                -0.710778
       versions              141.94                 -5.97663                 -3.30497
             23             141.904                 -3.33758                 -4.52494
            has             141.867                 -1.38827                 -1.31189
     transition             141.852                 -3.95435                 -7.55346
          prior             141.813                 -3.41168                 -4.66309
     facilitate             141.507                 -4.03072                 -5.94402
     candidates              141.49                 -3.84312                 -6.25418
            the             141.465                  1.33533                   1.4398
       analysis             141.451                 -3.40317                 -4.62672
         united             141.426                 -5.97663                 -3.23597
      addresses             141.329                 -5.60891                 -2.69107
 organizational             141.224                 -4.16652                 -8.65207
     activities             141.149                 -3.09245                 -4.80193
          sales             141.068                 -4.36719                 -2.49722
        jackson              140.92                 -4.13081                 -6.16717
              u             140.839                 -4.28204                  -2.5252
          image             140.795                 -6.22795                 -3.30497
              +             140.709                 -3.74304                 -1.97247
         secure              140.69                 -5.97663                 -3.42097
        weather              140.67                 -4.07951                 -7.04264
           sage              140.67                 -4.13081                 -7.55346
         studio             140.661                 -6.09442                 -2.88375
           paul             140.654                 -3.47338                 -5.35624
            ops             140.412                 -4.09632                 -6.86031
          yahoo             140.296                 -5.77596                 -3.18401
           wili              140.28                 -8.17386                 -3.79226
      unlimited              140.28                 -8.17386                 -3.65486
            our             140.272                 -1.16716                -0.356276
      guarantee             140.043                 -6.78756                 -3.38422
       poullain             140.001                 -4.34522                 -8.65207
            opt             139.936                 -8.17386                 -3.56448
       progress             139.568                  -3.8834                 -5.65634
             eb              139.49                 -4.06298                 -7.26578
       resource             139.487                 -3.23222                 -5.09673
          staff             139.442                 -3.18342                 -4.33459
   satisfaction             139.389                 -6.78756                 -3.62164
         custom             139.387                  -6.3821                 -3.47029
        service             139.296                 -4.01497                 -2.37543
          units             139.288                 -3.85637                 -6.45485
    spreadsheet             139.284                 -4.07951                 -6.86031
       yourself             139.274                 -5.28349                 -3.05365
projecthoneypot             139.248                 -8.17386                 -2.99259
       hundreds             139.248                 -8.17386                 -3.66164
         states             139.219                 -5.40127                 -3.13061
           more             139.055                 -2.29054                  -1.1232
      receiving              139.01                  -4.9958                 -3.02445
        artwork             138.905                 -8.17386                 -3.86458
             ut             138.844                 -3.41168                 -6.45485
        calgary             138.842                 -3.50103                 -7.04264
            aep             138.778                 -3.39473                 -8.65207
         sutton             138.778                 -4.34522                 -8.65207
        colwell             138.778                 -4.53627                 -8.65207
          wanda             138.778                 -4.32371                 -8.65207
       revenues             138.736                 -5.28349                 -3.49878
              _             138.571                 -1.98149                  1.81052
          adobe             138.561                 -8.17386                 -1.52358
      determine             138.519                 -3.86979                 -5.56103
          mills             138.504                 -4.22261                 -6.70616
          curve             138.348                 -3.79183                 -7.95893
      attending             138.348                 -4.46029                 -7.95893
          roles             138.313                 -4.36719                 -7.55346
              )             138.192               -0.0791738                -0.201875
            tue             138.058                 -7.48071                 -3.02445
             my             138.024                 -1.82647                 -1.07957
          right             138.016                 -3.83005                 -2.40017
       featured             137.874                 -8.17386                 -3.80004
     appreciate             137.836                 -3.76714                 -4.98851
  documentation             137.763                 -3.69652                 -6.34949
         posted             137.763                 -4.24203                 -6.45485
            she             137.637                 -2.44052                 -3.43714
           eric             137.557                 -4.34522                 -8.65207
            pep             137.557                 -3.74304                 -8.65207
           coal             137.557                 -4.36719                 -8.65207
            its             137.551                 -3.21803                 -1.84083
        hundred             137.531                 -8.17386                 -3.66847
            php             137.531                 -8.17386                 -3.76927
             th             137.361                 -2.30174                  -3.1798
          heads             137.348                 -4.20357                 -7.26578
      completed             137.228                 -3.34554                 -4.44738
      breathing             137.188                 -8.17386                 -3.90714
      revamping             137.188                 -8.17386                 -3.90714
         status             137.175                 -3.04989                 -4.18617
             cd              137.17                 -5.68895                 -2.93834
             16              137.17                 -3.02057                 -3.68226
  functionality             137.152                 -3.95435                 -7.26578
       shipping             137.048                 -7.48071                 -3.54613
             13              137.01                 -3.00337                 -3.73209
      following              136.88                 -2.28775                 -2.59062
          corel             136.846                 -8.17386                 -3.56448
          power             136.841                 -2.27396                  -3.3998
        address             136.679                 -3.38637                 -1.74232
          still             136.617                 -2.96437                 -3.51628
          model             136.554                 -3.54888                 -5.09673
        offices              136.51                 -3.27602                 -5.35624
             75              136.38                 -5.12934                 -2.93834
       computer             136.371                 -5.34064                 -2.84393
        traders             136.367                 -3.40317                 -5.94402
     enronxgate             136.338                  -3.5199                 -8.65207
       shankman             136.338                 -4.36719                 -8.65207
         shelly             136.338                 -4.26183                 -8.65207
             26             136.239                 -3.26858                 -4.10878
          agent             136.123                 -6.56442                 -3.33887
       probably             136.006                 -3.84312                  -4.9144
          never             135.993                 -4.67735                 -2.79129
           2002             135.804                 -6.56442                 -3.19249
          susan             135.766                  -3.8834                 -6.16717
       visitors             135.706                 -7.48071                 -3.70331
           some             135.676                 -2.04046                 -2.45563
            hot             135.664                 -4.18487                 -3.02086
           vice             135.607                 -3.16991                 -5.31987
    commodities             135.543                 -4.04672                 -6.08712
            air             135.483                 -6.22795                 -3.53408
           spam             135.476                 -8.17386                 -3.47592
       thompson             135.435                 -4.18487                 -6.45485
             mg             135.272                 -2.93211                 -6.08712
            biz             135.134                 -8.17386                 -3.73209
        gossett              135.12                 -4.48498                 -8.65207
        redmond              135.12                 -4.34522                 -8.65207
       skilling              135.12                 -4.46029                 -8.65207
        frevert              135.12                 -4.53627                 -8.65207
            iso             135.036                 -7.48071                 -3.77688
          order             134.899                  -3.2612                 -1.79351
          smith             134.856                  -3.8834                  -5.4332
        earnest             134.809                 -4.30266                 -6.86031
           that             134.793                 -0.16649                -0.158149
           news             134.755                 -4.46029                 -2.38868
           safe             134.656                  -6.3821                 -3.49302
          basis             134.613                 -3.36167                 -4.47769
          going             134.514                 -2.73144                 -3.25845
       mortgage             134.451                 -8.17386                 -3.18824
             66             134.367                 -7.48071                 -3.70331
       employee             134.344                 -3.48251                 -5.65634
       download             134.343                 -5.97663                 -3.04995
           room             134.268                 -3.81715                 -5.06855
        earlier             134.194                 -4.14851                 -5.94402
             xp              134.11                 -8.17386                 -3.76172
           data             134.109                 -2.59036                 -3.41563
         cannot              134.07                 -4.80656                 -3.17143
          total             134.061                 -3.95435                 -2.50789
              5              133.98                 -2.27945                 -1.06426
       timeline             133.904                 -4.46029                 -8.65207
        enpower             133.904                 -3.73121                 -8.65207
        whalley             133.904                  -4.6475                 -8.65207
            doc             133.901                 -4.32371                 -6.86031
          deals             133.853                 -2.99771                 -4.72025
     conference             133.823                 -3.63056                 -4.64474
      interview             133.823                 -3.55874                 -5.56103
         notice             133.802                  -4.6475                 -2.97875
             es             133.768                 -8.17386                 -3.36887
          texas             133.746                 -3.16991                 -4.72025
           been             133.708                 -1.64007                 -1.83863
             mr              133.66                 -5.87127                 -2.91873
         stacey             133.632                 -4.11341                 -7.55346
          state             133.595                 -4.70812                 -2.80853
       location             133.586                 -3.57874                 -4.13029
    derivatives             133.577                 -4.67735                 -6.70616
      assistant             133.481                 -4.20357                 -6.16717
       physical             133.406                 -3.43766                 -5.01449
       planning             133.406                 -3.81715                 -4.72025
         during             133.385                 -3.11761                 -3.59583
         breath              133.35                 -7.07525                 -3.82376
       analysts             133.339                  -3.5199                 -5.28478
          final             133.238                 -3.19025                 -4.06711
          frank               133.2                 -3.92536                 -5.81886
         taylor             133.182                 -4.34522                 -6.57263
       deadline             133.169                 -3.76714                 -6.01302
         simply              133.15                 -4.53627                 -2.93505
          error              133.12                 -4.77266                 -3.18824
        removal             133.087                 -8.17386                 -3.66847
         stocks             133.032                 -7.48071                 -3.25845
        changes             132.904                 -2.78936                 -3.67534
       continue               132.8                 -2.91636                 -3.58948
          input             132.798                 -3.73121                 -5.51658
            cal             132.776                 -3.75502                 -6.57263
         andrea             132.758                 -4.36719                 -7.04264
           vain             132.746                 -8.17386                  -4.0271
        theriot              132.69                  -4.6475                 -8.65207
       philippe              132.69                 -4.46029                 -8.65207
        offsite              132.69                 -4.22261                 -8.65207
             eu              132.69                 -3.95435                 -8.65207
           andy              132.47                 -4.20357                 -7.55346
          bruce              132.47                 -4.04672                 -7.55346
        private             132.466                 -5.97663                 -3.28144
          corei             132.405                 -8.17386                  -3.5769
             62             132.405                 -8.17386                 -3.98863
          logic             132.391                 -3.96916                 -7.95893
    controllers             132.391                 -4.43619                 -7.95893
         invest              132.37                 -7.07525                 -3.65486
       reviewed             132.212                 -4.20357                  -5.7617
         orders             132.165                 -5.08282                 -2.87133
             do             132.137                 -1.86212                 -1.01774
         peopie             132.065                 -8.17386                 -3.84805
      investors             132.044                 -6.56442                 -3.11081
         stream             132.044                 -6.78756                 -3.87295
   applications             131.961                 -3.65207                 -4.10878
           loan             131.718                 -7.07525                 -3.38938
      currently             131.713                 -2.75776                 -3.51041
          logos               131.7                 -7.48071                 -3.89848
      september               131.7                 -3.49173                 -5.06855
          claim             131.689                 -6.56442                 -3.25391
         rights             131.689                 -6.56442                 -3.68226
           paid             131.634                 -5.34064                 -3.06858
        schultz             131.619                 -4.34522                 -7.26578
             80             131.574                 -5.40127                 -2.85298
          world             131.534                  -3.8834                 -2.46999
    assignments             131.477                 -4.84165                 -8.65207
           abel             131.477                 -4.28204                 -8.65207
       helsinki             131.477                 -4.36719                 -8.65207
            hgm             131.477                 -4.80656                 -8.65207
            for             131.449                 0.268397                 0.411737
            120             131.385                 -8.17386                 -3.99811
   coordination              131.31                 -4.61851                 -7.55346
       michelle              131.31                 -4.22261                 -7.55346
           shop             131.309                 -6.78756                 -3.73209
           fund             131.309                 -6.56442                 -3.16728
        windows             131.237                 -5.97663                 -3.41033
       approval             131.216                 -3.30632                 -4.49319
          janet             131.207                 -4.34522                 -7.95893
         hunter             131.207                 -4.41266                 -7.95893
      hopefully             131.207                 -4.61851                 -7.95893
          until             131.162                 -3.11126                 -3.51041
           work             131.135                 -2.15283                 -2.16897
          early             131.075                 -3.84312                  -4.9385
           8859             131.036                 -7.48071                 -3.90714
          allen             131.028                 -4.16652                 -6.25418
  participation             130.993                 -3.81715                 -5.28478
         across              130.88                 -3.52947                 -4.80193
           link             130.755                 -4.03072                 -2.64081
              v             130.753                 -3.84312                 -2.82019
       millions             130.742                 -7.07525                 -3.58317
       discreet             130.706                 -8.17386                 -4.07736
             cs             130.706                 -8.17386                 -2.85298
        mailman             130.706                 -8.17386                 -4.08773
              |             130.704                 -4.56294                 -1.12428
             ca             130.672                 -6.56442                 -3.66847
